"","lat","long","depth","mag","stations"
"2964",33.5,-116.77483,2.17,0.73,2
"2965",54.3889,-160.7575,9.27,2.6,13
"2966",62.2882,-148.5668,36.8,1.4,1
"2967",41.4343,-29.2283,10,5,13
"2968",18.6771,-66.2731,75,2.35,3
"2969",59.6925,-152.1085,61,1.8,1
"2970",59.2914,-152.2253,62.6,1.7,1
"2971",63.3991,-145.111,4,0.9,1
"2972",61.3234,-149.946,42.6,1.6,1
"2973",-20.1527,-177.5948,519.28,4.4,13
"2974",33.035,-116.42933,9.38,1.01,2
"2975",38.82733,-122.791,1.45,1.5,2
"2976",55.51167,-162.10567,6.61,0.74,1
"2977",33.49433,-116.52433,5.21,1.68,2
"2978",19.0443,-66.7016,36,2.36,3
"2979",51.4834,-176.7495,24.2,1.9,1
"2980",-10.2889,119.0504,10,4.4,13
"2981",-19.4468,169.2318,149.06,4.5,13
"2982",60.04233,-153.1465,-1.79,0.42,1
"2983",36.00833,-120.95633,10.48,1.72,2
"2984",64.8161,-148.6381,15.7,0.8,1
"2985",55.855,-160.2867,103.3,2.3,1
"2986",61.4208,-150.1237,42.6,1.9,1
"2987",-10.4148,119.0165,24,6.3,13
"2988",19.41517,-155.26933,1.2,1.85,4
"2989",55.9182,-161.2426,175.07,3.5,13
"2990",33.22583,-116.742,10.79,0.85,2
"2991",35.85417,-91.419,1.95,2.22,8
"2992",61.4666,-150.2081,44.5,1.1,1
"2993",33.5905,-116.6035,12.34,0.79,2
"2994",33.48383,-116.44017,13.8,0.6,2
"2995",19.7163,-68.8183,24,2.81,3
"2996",58.3317,-155.3231,121.5,5.2,1
"2997",55.33783,-161.91683,15.38,0.15,1
"2998",37.6385,-118.811,2.3,0.48,2
"2999",4.1674,126.6337,35,4.8,13
"3000",36.092,-117.61067,3.1,1.91,2
"3001",38.4275,68.8377,10,3.8,13
"3002",34.10783,-117.315,17.86,2.4,2
"3003",61.4934,-149.8871,42.1,1.5,1
"3004",38.8345,-122.79684,1.61,1.01,2
"3005",33.5665,-118.23633,-0.2,1.95,2
"3006",62.8236,-149.9235,72.1,1.3,1
"3007",62.9206,-151.3474,103.3,1.2,1
"3008",63.3767,-153.1127,7.6,1.2,1
"3009",37.63917,-118.81217,2.32,0.3,2
